ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
236,KACANIK,Jobs,Not Provided,KA652/14/42/521,Ndertimi dhe asfaltimi I rruges ne fshatin Llanisht faza e pare,2014,EUROTRANS NNT,Kacanik,13-Aug-14,Not Provided,"170,556.10",Not Provided,170556.1,0
237,FERIZAJ,Services,Not Provided,82,Sigurimi fizik I objektit te komunes dhe objekteve te tjera qe funksionojne ne kuader te Komunes,2014,KS BESA SEKURITY,Prishtine,14-Aug-14,Not Provided,"10,347.25",Not Provided,10347.25,0
238,KACANIK,Jobs,Not Provided,KA652/14/48/521,Renovimi I objekteve dhe infrastruktures Shkollore,2014,P & I NNSH,Kacanik,14-Aug-14,Not Provided,"22,081.41",Not Provided,22081.41,0
239,KACANIK,Jobs,Not Provided,KA652/14/55/536,Rehabilitimi I rruges Hamze Jashari ne Kacanik,2014,MURSELI COMPANY SHPK,Kacanik,14-Aug-14,Not Provided,"4,099.37",Not Provided,4099.37,0
240,KACANIK,Jobs,Not Provided,KA652/14/56/536,Mbrojtja e fodsnrvr me rrethoja te hekurit ne Bulevardin Ismail Raka,2014,SHPOTA NN,Kacanik,18-Aug-14,Not Provided,"5,500.00",Not Provided,5500,0
241,KACANIK,Supply,Not Provided,KA652/14/60/136,Furnizim me mtore te automjetit te QKMF-se Kombi per paciente e Hemodializes,2014,AUTOMEKANIKU YLBERI XH,Kacanik,18-Aug-14,Not Provided,"3,000.00",Not Provided,3000,0
242,KACANIK,Jobs,Not Provided,KA652/14/49/563,Ndertimi I murit mbrojtes ne lagjen Jehona Raka ne Kacanik,2014,ILIRI NN,Kacanik,20-Aug-14,Not Provided,"5,986.82",Not Provided,5986.82,0
243,KACANIK,Jobs,Not Provided,KA652/14/50/536,Ndertimi I shtegut per kebesor pran perroit te rakocit,2014,ELAN INZHINJERING NNT,Ferizaj,20-Aug-14,Not Provided,"3,999.76",Not Provided,3999.76,0
244,KACANIK,Services,Not Provided,KA652/14/59/236,"Regjistrimi Sigurimi i automjeteve te Administrates, QKMF-se dhe sherbimit te Zjarrfiksave",2014,KS KOSOVA E RE SHPK,Prishtine,22-Aug-14,Not Provided,"9,379.34",Not Provided,9379.34,0
245,VITI,Services,Not Provided,47,Transport i nxenseve ne relacione te ndryshme (LOT III),2014,TAXI SAMAKOVA,Viti,1-Sep-14,0,"6,250.00",0,6250,0
246,VITI,Services,Not Provided,47,Transport i nxenseve ne relacione te ndryshme (LOT IV),2014,BENI KOMERC,Viti,1-Sep-14,0,"5,200.00",0,5200,0
247,KACANIK,Jobs,Not Provided,KA652/14/47/521,"Ndertimi I kanalizimeve fekale dhe atmosferike , kontrate njevjeqare",2014,MALI ART NPT,Kacanik,2-Sep-14,Not Provided,"109,568.00",Not Provided,109568,0
248,KACANIK,Supply,Not Provided,KA652/14/54/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te venditÓ,dhe shkurtimi i tyre _ Kacanik",2014,DARDANI NTSH,Kacanik,5-Sep-14,Not Provided,"39,150.00",Not Provided,39150,0
249,KACANIK,Jobs,Not Provided,KA652/14/53/521,"Ndertimi I varrezave te Deshmoreve, faza e IV",2014,GERLICA COMPANY SHPK,Ferizaj,9-Sep-14,Not Provided,"19,158.22",Not Provided,19158.22,0
250,KACANIK,Supply,Not Provided,KA652/14/57/121,Furnizim me lende djegese thengjill per shkollat dhe Administraten Komunale,2014,AOME NTSH,Prishtine,9-Sep-14,Not Provided,"13,970.00",Not Provided,13970,0
251,KACANIK,Jobs,Not Provided,KA652/14/62/521,Punimi I sinjalizimit Horizontal dhe vertikal,2014,KROSA NSH,Ferizaj,24-Sep-14,Not Provided,"8,366.00",Not Provided,8366,0
252,KACANIK,Supply,Not Provided,KA652/14/74/136,Furnizim me aparatur mjeksore per repartin e laboratort te QKMF-se - Kacanik,2014,BIO LAB NTP,Gjilan,7-Oct-14,Not Provided,"9,945.00",Not Provided,9945,0
253,KACANIK,Jobs,Not Provided,KA652/14/61/521,Ndertimi dhe asfaltimi I rruges ne lagjen Ramadan Agushi,2014,AR DRITI NTSH,Ferizaj,8-Oct-14,Not Provided,"14,773.95",Not Provided,14773.95,0
254,PRISHTINE,Jobs,Not Provided,79,Rikonstruimi I objektit te shkolles Elena Gjika dhe rekonstruimet ne disa shkolla tjera - Loto II,2014,CTA,Prishtine,9-Oct-14,0,"89,524.00",Not Provided,89524,0
255,PRISHTINE,Jobs,Not Provided,79,Rikonstruimi I objektit te shkolles Elena Gjika dhe rekonstruimet ne disa shkolla tjera - Loto III,2014,REXHA,Prishtine,9-Oct-14,0,"84,871.00",Not Provided,84871,0
256,PRISHTINE,Jobs,Not Provided,79,Rikonstruimi I objektit te shkolles Elena Gjika dhe rekonstruimet ne disa shkolla tjera - Loto IV,2014,ULPIANA,Prishtine,9-Oct-14,0,"81,675.00",Not Provided,81675,0
257,PRISHTINE,Jobs,Not Provided,79,Rikonstruimi I objektit te shkolles Elena Gjika dhe rekonstruimet ne disa shkolla tjera - Loto V,2014,GLOBAL ING,Podujeve,9-Oct-14,0,"6,774.25",Not Provided,6774.25,0
258,KACANIK,Services,Not Provided,KA652/14/64/221,"Mirmbajtja verore dhe dimrore e rrugeve lokale, kontrate njevjeqare",2014,MURSELI COMPANY SHPK,Kacanik,14-Oct-14,Not Provided,"81,000.00",Not Provided,81000,0
259,KACANIK,Jobs,Not Provided,KA652/14/46/521,Rregullimi I rruges dhe lokacionit te ri te varrezave te qytetit,2014,AL TECH NTSH,Ferizaj,20-Oct-14,Not Provided,"48,989.95",Not Provided,48989.95,0
260,KACANIK,Jobs,Not Provided,KA652/14/66/521,Ndertimi I trotuarit prej QPS-se deri te Shkolla fillore Emin Duraku,2014,AS DARDI SHPK,Shterpce,20-Oct-14,Not Provided,"26,666.66",Not Provided,26666.66,0
261,KACANIK,Jobs,Not Provided,KA652/14/67/521,Ndertimi dhe rregullimi I ujesjellseve - Kacanik,2014,KBK KOSMAQI,Drenas,22-Oct-14,Not Provided,"27,288.00",Not Provided,27288,0
262,KACANIK,Services,Not Provided,KA652/14/70/236,"Hartimi I projektit kryesor per furnizim me uje te pijes per fshatrat Dubrave ,Nikaj, Malesi, Elezaj dhe Kacanik I Vjeter, pjesa prej Burimi deri te Rezervuari ne Sepetin",2014,HIDROPROJEKTI NSHP,Ferizaj,23-Oct-14,Not Provided,"9,946.40",Not Provided,9946.4,0
263,PRISHTINE,Jobs,Not Provided,89,"Rregullimi I oborreve, rrethojave dhe fushave sportive ne disa shkolla te Komunes se Prishtines-Lot 2",2014,P&I,Ferizaj,24-Oct-14,0,"54,856.00",Not Provided,54856,0
264,PRISHTINE,Jobs,Not Provided,89,"Rregullimi I oborreve, rrethojave dhe fushave sportive ne disa shkolla te Komunes se Prishtines-Lot 3",2014,ZHVILLIMI,Podujeve,24-Oct-14,0,"52,202.50",Not Provided,52202.5,0
265,KACANIK,Jobs,Not Provided,KA652/14/71/536,Rregullimi I stadiumit Besnik Beguca,2014,BASS COM NTP,Gjilan,24-Oct-14,Not Provided,"9,941.75",Not Provided,9941.75,0
266,PRISHTINE,Services,Not Provided,100,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese - Loto II,2014,ITEG & INTER SHPED,Prishtine,29-Oct-14,0,"7,350.00",Not Provided,7350,0
267,PRISHTINE,Services,Not Provided,100,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese - Loto III,2014,GZC&GEO MAX,Slovenia,29-Oct-14,0,"9,990.00",Not Provided,9990,0
268,PRISHTINE,Services,Not Provided,100,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese - Loto IV,2014,PRO GIS,Prishtine,29-Oct-14,0,"6,822.00",Not Provided,6822,0
269,PRISHTINE,Services,Not Provided,100,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese - Loto V,2014,VIA COM & GEO INFO,Prishtine,29-Oct-14,0,"12,581.93",Not Provided,12581.93,0
270,PRISHTINE,Services,Not Provided,100,Hartimi I matjeve xheodezike per revidimin e planeve rregulluese - Loto VI,2014,GEO KOS,Gjilan,29-Oct-14,0,"8,179.50",Not Provided,8179.5,0
271,KACANIK,Jobs,Not Provided,KA652/14/72/536,Ndertimi I parkut te qytetit faza e dyte,2014,KOPSHT DIZAJN SHPK,Kacanik,31-Oct-14,Not Provided,"9,887.80",Not Provided,9887.8,0
272,KACANIK,Jobs,Not Provided,KA652/14/73/536,Rehabilitimi I varrezave te deshmoreve,2014,GERLICA COMPANY SHPK,Not Provided,7-Nov-14,Not Provided,"9,553.75",Not Provided,9553.75,0
273,KACANIK,Jobs,Not Provided,KA652/14/87/536,"Rehabilitimi I rruges ne fshatin Sllatine lagjaj Lamaj , Kastrat",2014,P & I NNSH,Not Provided,7-Nov-14,Not Provided,"9,910.70",Not Provided,9910.7,0
274,KACANIK,Services,Not Provided,KA652/14/76/236,Vendosja e kamerave ne qendren per pune sociale - Kacanik,2014,SYRI I SHQIPONJES SHPK,Ferizaj,10-Nov-14,Not Provided,"2,298.38",Not Provided,2298.38,0
275,KACANIK,Jobs,Not Provided,KA652/14/77/536,Rregullimi I nyjeve sanitare ne shkollen fillore ne fshatin Stagov,2014,CIMA NTSH,Kacanik,10-Nov-14,Not Provided,"4,527.00",Not Provided,4527,0
276,KACANIK,Jobs,Not Provided,KA652/14/78/536,Rregullimi I kanali te ujitjes prej lagjes Lekaj,2014,AR DRITI NTSH,Ferizaj,10-Nov-14,Not Provided,"7,778.00",Not Provided,7778,0
277,KACANIK,Supply,Not Provided,KA652/14/80/136,Furnizim me gypa te ujesjellsit ne fshatin Doganaj,2014,MALI ART NPT,Kacanik,10-Nov-14,Not Provided,"6,046.87",Not Provided,6046.87,0
278,KACANIK,Jobs,Not Provided,KA652/14/81/536,Rehabilitimi I rruges ne Doganaj - Kacanik,2014,BUARDI SHPK,Kacanik,10-Nov-14,Not Provided,"4,483.00",Not Provided,4483,0
279,KACANIK,Jobs,Not Provided,KA652/14/82/536,Rehabilitimi I pjese se rruges Gerlic Prushaj,2014,CIMA NTSH,Kacanik,10-Nov-14,Not Provided,"4,790.00",Not Provided,4790,0
280,KACANIK,Jobs,Not Provided,KA652/14/83/536,Rregullimi I kanalizimit ne fshatin Kacanik I vjeter,2014,MALI ART NPT,Kacanik,10-Nov-14,Not Provided,"8,490.93",Not Provided,8490.93,0
281,KACANIK,Jobs,Not Provided,KA652/14/84/536,Rehabilitimi I rruges ne fshatin Sllatine,2014,P & I NNSH,Kacanik,10-Nov-14,Not Provided,"9,846.85",Not Provided,9846.85,0
282,KACANIK,Services,Not Provided,KA652/14/85/236,"Hartimi I projektit kryesor per furnizim me uje te pijes per fshatrat Dubrave ,Nikaj, Malesi, Elezaj dhe Kacanik I Vjeter, pjesa prej Burimi deri te Rezervuari ne Sepetin",2014,HIDROPROJEKTI NSHP,Ferizaj,10-Nov-14,Not Provided,"9,951.00",Not Provided,9951,0
