ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
1446,FERIZAJ,Services,Not Provided,105,Zhvillimi I programit softverik per sherbimin e vaksionimit ne QKMF-Ferizaj,2014,LYNKEST L.L.C.,Viti,26-Sep-14,"5,100","5,100.00",Not Provided,5100,0
1447,FERIZAJ,Services,Not Provided,107,Regullimi I gjeeratoritne QKMF-Ferizaj,2014,AUTO KOSOVA,Ferizaj,30-Sep-14,"1,500","1,500.00",Not Provided,1500,0
1448,GJAKOVE,Jobs,National Budget,17,Aneks _Renovimi i objektit te QKMF-se ne Gjakove Ó,2014,MONTKOMERCE,Gjakove,30-Sep-14,"4,188",Not Provided,"4,187.54",4187.54,0
1449,VITI,Services,Not Provided,62,Hartimi i programit per faturim elektronik,2014,INFORMATIKA COMP,Prishtine,1-Oct-14,"2,000","2,000.00",0,2000,0
1450,GJILAN,Jobs,Not Provided,82,"Riparimi I rrjetit furnizues te ngrohjes qendrore ne sh.f. ""Selami Hallaqi""",2014,TERMO FER,Gjilan,2-Oct-14,"9,988","9,987.50",Not Provided,9987.5,0
1451,GJILAN,Jobs,Not Provided,85,Rregullimi I murit mbrojtes dhe rrethoja te stadiumit ne sh.f. Livoq i Eperm,2014,EL BAU,Gjilan,2-Oct-14,"5,612","5,612.39",Not Provided,5612.39,0
1452,GJILAN,Services,Not Provided,33,Trajtimi i qenve endacak ne qendren e Azilit Zhegoc,2014,SKDCS,Prishtine,4-Oct-14,"3,600","3,600.00",Not Provided,3600,0
1453,GJILAN,Jobs,Not Provided,24,"Asfaltimi i rrugeve ne lagjen Dardania, rruget ""Muharrem Ibrahimi dhe rruget nr.VII,X dhe XII",2014,CONEX GROUP SHPK,Prishtine,6-Oct-14,"97,719","97,718.72",Not Provided,97718.72,0
1454,GJILAN,Jobs,Not Provided,32,Ndertimi i terenit sportiv ne fshatin Livoq i Eperm,2014,EL BAU,Gjilan,6-Oct-14,"15,892","15,892.13",Not Provided,15892.13,0
1455,GJILAN,Supply,Not Provided,63,Furnizim me nafte per ngrohje,2014,PETROL COMPANY,Prishtine,10-Oct-14,"120,000","120,000.00",Not Provided,120000,0
1456,HANI I ELEZIT,Jobs,Municipal Budget,26,Punimi I aneks-shkolles Ilaz Thaci - projekt 2 vjecar,2014,BAZAMENTI SHPK,Ferizaj,10-Oct-14,"37,000","37,000.00",0,37000,0
1457,GJAKOVE,Jobs,Municipal Budget,52,_Ndertimi i kanaleve te ujitjes ne zonat ruraleÓ,2014,BENI,Plancor,13-Oct-14,"73,000","73,000.00",Not Provided,73000,0
1458,GJILAN,Jobs,Not Provided,57,"Ndertimi I trotuarit,rregullimi i kabinave per pritje te autobuseve ne rrugen""Mulla Idrizi"" deri te shkolla fillore ne Zabel",2014,TEUTA M,Gjilan,13-Oct-14,"59,591","59,590.95",Not Provided,59590.95,0
1459,GJILAN,Services,Not Provided,62,Sigurimi i automjeteve,2014,ILIRIA,Gjilan,13-Oct-14,"13,121","13,121.46",Not Provided,13121.46,0
1460,FERIZAJ,Jobs,Not Provided,117,"Rregullimi I kulmit ne shkollen f.""Astrit Bytyqi""",2014,EURO BETON NPT,Ferizaj,14-Oct-14,"3,258",Not Provided,"3,258.05",3258.05,0
1461,FERIZAJ,Jobs,Not Provided,118,"Rregullimi I kulmit ne GJIMNAZIN""Kuvendi I Arberit""",2014,EURO BETON NPT,Ferizaj,14-Oct-14,"2,866",Not Provided,"2,865.90",2865.9,0
1462,FERIZAJ,Jobs,Not Provided,119,"Ndertimi I rrjetit te kanalizimit fekal dhe atmosferikne rrugen""Nermin Vlora""",2014,BERISHA COMPANY SHA,Ferizaj,14-Oct-14,"6,447",Not Provided,"6,446.50",6446.5,0
1463,GJILAN,Supply,Not Provided,65,Furnizim me dru per ngrohje,2014,MALI,Gjilan,14-Oct-14,"254,180","254,180.00",Not Provided,254180,0
1464,GJILAN,Supply,Not Provided,68,Furnizim me material Higjeniko-Sanitar,2014,EURO TEC,Gjilan,14-Oct-14,"100,892","100,892.40",Not Provided,100892.4,0
1465,FERIZAJ,Services,Not Provided,121,Hartimi I planit Komunal per oficience te energjise 2014-2020,2014,HITERM EL NPSH,Ferizaj,17-Oct-14,"6,000","6,000.00",Not Provided,6000,0
1466,GJILAN,Supply,Not Provided,80,Furnizim me fare gruri per nevoja te fermereve te komunes se Gjilanit,2014,RENDIMENTI,Gjilan,17-Oct-14,"74,750","74,750.00",Not Provided,74750,0
1467,GJILAN,Jobs,Not Provided,49,Asfaltimi i rrugeve ne lagjen VIII-Malesia,2014,BASS COM NTP,Gjilan,20-Oct-14,"151,848","151,848.03",Not Provided,151848.03,0
1468,GJILAN,Supply,Not Provided,69,Furnizim me konstruksion per serra,2014,MEGA,Gjilan,21-Oct-14,"22,222","22,222.00",Not Provided,22222,0
1469,GJILAN,Supply,Not Provided,86,Furnizim I bujqeve me paisje bujqesore,2014,RENDIMENTI,Gjilan,22-Oct-14,"9,988","9,988.00",Not Provided,9988,0
1470,HANI I ELEZIT,Supply,National Budget,32,Furnizim me dru per Institucionet e Hanit te Elezit,2014,AHU NPT,Hani I Elezit,24-Oct-14,"6,840","6,840.40",0,6840.4,0
1471,GJILAN,Jobs,Not Provided,70,Ndertimi i Ures afer Kalase ne fshatin Pogragje,2014,ARCH NDERTIMI,Gjilan,29-Oct-14,"89,241","89,241.30",Not Provided,89241.3,0
1472,GJAKOVE,Jobs,National Budget,18,Aneks _Ndertimi i lapidarit te lirise ne parkun e qytetitÓ,2014,ROMA 1 & 2K-PLUS,Gjakove,30-Oct-14,"5,598",Not Provided,"5,597.75",5597.75,0
1473,GJILAN,Jobs,Not Provided,36,"Ndertimi i trotuarit prej shk.f."" Abaz Ajeti"" deri te fshati Velekince",2014,AREA,Hodonoc,31-Oct-14,"118,361","118,360.60",Not Provided,118360.6,0
1474,GJILAN,Jobs,Not Provided,78,Rregullimi I kanalizimit fekal te lumi Baja faza e II-te,2014,BARDHI NNP,Gjilan,31-Oct-14,"132,128","132,128.30",Not Provided,132128.3,0
1475,GJILAN,Supply,Not Provided,81,Furnizim me aparature te nevojshme per QKMF,2014,BIO LAB NTP,Not Provided,31-Oct-14,"9,739","9,739.00",Not Provided,9739,0
1476,GJAKOVE,Supply,National Budget,4,_Furnizim me arkivole dhe kuroraÓ,2014,MIMOZA,Gjakove,5-Nov-14,"4,000","4,000.00",Not Provided,4000,0
1477,GJAKOVE,Supply,Municipal Budget,62,_Furnizim me fidane te pemeve drunore dhe pemeve te imta _,2014,FIDANISHTJA GARDEN & FRESKIJA,Plancor,5-Nov-14,"20,000","20,000.00",Not Provided,20000,0
1478,GJILAN,Services,Not Provided,96,"Furnizimi dhe montimi I kamerave te zyrja e Kyertarit, drejtoria e Urbanizmit dhe aktivizimi",2014,KOSOVA NETWORK,Gjilan,5-Nov-14,"9,870","9,870.00",Not Provided,9870,0
1479,GJILAN,Jobs,Not Provided,29,Ndertimi i tereneve sportive ne fshatrat e komune se Gjilanit,2014,VISION PROJECT,Gjilan,6-Nov-14,"114,466","114,466.30",Not Provided,114466.3,0
1480,GJAKOVE,Supply,National Budget,50,_Furnizimi dhe mirembajtja e ndri_imit publik ne Komunen e Gjakoves Ó,2014,TONI,Negrovc,7-Nov-14,"110,000","110,000.00",Not Provided,110000,0
1481,GJAKOVE,Jobs,National Budget,15,Aneks _Ndertimi i infrastruktures ne lagjen _Kolonia _ Ali IbraÓ Faza e I-re dhe e II-te ne Komunen e Gjakoves Ó,2014,EUROASPHALT,Gjakove,10-Nov-14,"7,339",Not Provided,"7,339.00",7339,0
1482,GJAKOVE,Jobs,Municipal Budget,51,Aneks _Perforcmi i pllakes se nderkatit ne sh.f.ÓYll MorinaÓ,2014,EL COM,Gjakove,10-Nov-14,"1,591",Not Provided,"1,591.38",1591.38,0
1483,GJILAN,Supply,Not Provided,103,Furnizim me tepih per zyren e Kryesuese se kuvendit,2014,PELLUMBI,Gjilan,10-Nov-14,"9,663","9,663.00",Not Provided,9663,0
1484,GJILAN,Services,Not Provided,99,"Pastrimi, mirembajtja e QKMF-Cernice",2014,ARIANITI A,Gjilan,11-Nov-14,"6,840","6,840.00",Not Provided,6840,0
1485,GJILAN,Supply,Not Provided,102,Furnizim me aparat fotokopjuese per nevoja te gjimnazit dhe institucioneve tjera,2014,ASTRONIK,Prishtine,11-Nov-14,"9,849","9,849.00",Not Provided,9849,0
1486,GJAKOVE,Jobs,National Budget,16,Aneks _Renovimi i Pallatit te kultures _Asim VokshiÓ Ó,2014,ARCPROJECT & FANKR,Gjakove,13-Nov-14,"8,599",Not Provided,"8,598.50",8598.5,0
1487,GJILAN,Services,Not Provided,91,"Transmetimi I seancave te kuvendit,bordit te drejtoreve,konferencave te kuvendit",2014,RADIO VIKTORIA,Gjilan,17-Nov-14,"9,118","9,118.00",Not Provided,9118,0
1488,GJILAN,Supply,Not Provided,107,Furnizim me uniforma per nevoja te QKMF-se,2014,DARDANIA KOS,Gjilan,19-Nov-14,"9,815","9,815.00",Not Provided,9815,0
1489,GJILAN,Supply,Not Provided,109,Furnizim me teknologji informative -Drejtoria e Arsimit,2014,PRO COMPUTERS,Gjilan,19-Nov-14,"9,900","9,900.00",Not Provided,9900,0
1490,GJAKOVE,Jobs,Municipal Budget,39,Aneks _Renovimi i objekteve shkolloreÓ,2014,MONTKOMERCE,Gjakove,24-Nov-14,"3,711",Not Provided,"3,710.58",3710.58,0
1491,GJILAN,Supply,Not Provided,110,Furnizim me aparatur biokimike-full automatik,2014,BIO LAB NTP,Gjilan,24-Nov-14,"9,110","9,110.00",Not Provided,9110,0
1492,GJAKOVE,Jobs,National Budget,70,_Renovimi i nyjeve sanitare (pjesa e majte) ne QKMF Ó,2014,ARCPROJECT,Gjakove,25-Nov-14,"2,092","2,092.20",Not Provided,2092.2,0
1493,GJILAN,Supply,Not Provided,94,Furnizim me derivate per vetura dhe gjenerator,2014,PETROL COMPANY,Prishtine,27-Nov-14,"60,000","60,000.00",Not Provided,60000,0
1494,GJILAN,Supply,Not Provided,105,Furnizim me ushqim per kafshe ne sh.m. Bujqesise Arberia,2014,YLLI COMERC,Crep,1-Dec-14,"9,810","9,810.00",Not Provided,9810,0
1495,GJILAN,Supply,Not Provided,108,Furnizim me uniforma dimrore per zjarrefiksat,2014,LULI 93,Gjilan,1-Dec-14,"8,692","8,692.00",Not Provided,8692,0
1496,HANI I ELEZIT,Supply,Not Provided,Not Provided,"Furnizim me material per mirembajtje per ujesjelles, kanalizim dhe elektrifikim",2014,SFERA DPT,Hani I Elezit,1-Dec-14,"2,602","2,602.40",0,2602.4,0
1497,GJILAN,Supply,Not Provided,106,Furnizim me material per renovimin e nderteses se ish Gjykates,2014,CDC SHPK,Gjilan,2-Dec-14,"9,720","9,720.00",Not Provided,9720,0
1498,GJILAN,Supply,Municipal Budget,3,Furnizim me fare misri,2014,RENDIMENTI,Gjilan,3-Dec-14,"17,225","17,225.00",Not Provided,17225,0
1499,VITI,Supply,Not Provided,85,"Furnizimi me pula vojse, per familjet skamnore",2014,ARDI COMERCE,Viti,3-Dec-14,"2,200","2,200.00",0,2200,0
1500,GJILAN,Supply,Not Provided,30,Furnizim me shtepiza bletesh,2014,BLETA,Viti,5-Dec-14,"9,500","9,500.00",Not Provided,9500,0
1501,GJAKOVE,Supply,National Budget,73,_Furnizim me uniformaÓ,2014,ARVA,Prishtine,9-Dec-14,"1,714","1,714.00",Not Provided,1714,0
1502,GJAKOVE,Services,National Budget,54,Aneks _Sigurimi fizik i objekteve te Komunes se Gjakoves Ó(632-13-054-221),2014,PANTHERS,Gjakove,9-Dec-14,"7,779",Not Provided,"7,779.20",7779.2,0
1503,GJAKOVE,Services,National Budget,46,_Transporti i nxenesve ne relacione te ndryshmeÓ,2014,ARTI TAXI,Gjakove,12-Dec-14,"260,000","260,000.00",Not Provided,260000,0
1504,GJAKOVE,Supply,Municipal Budget,64,"_Furnizim me material ushqimor,higjenik dhe mish per nevojat e Komunes se GjakovesÓ pj.I-re",2014,BENI DONA PLAST,Prishtine,12-Dec-14,"50,000","50,000.00",Not Provided,50000,0
1505,GJAKOVE,Supply,Municipal Budget,64,"_Furnizim me material ushqimor,higjenik dhe mish per nevojat e Komunes se GjakovesÓ pj.II-te",2014,PASHTRIKU,Prishtine,12-Dec-14,"30,000","30,000.00",Not Provided,30000,0
1506,GJAKOVE,Supply,Municipal Budget,64,"_Furnizim me material ushqimor,higjenik dhe mish per nevojat e Komunes se GjakovesÓpj.III-te",2014,DUJAKA LUX,Gjakove,12-Dec-14,"15,000","15,000.00",Not Provided,15000,0
1507,GJILAN,Supply,Not Provided,88,Furnizim me meterial riparuese - teknike,2014,TONI IMMPEX,Gjilan,12-Dec-14,"37,137","37,137.16",Not Provided,37137.16,0
1508,GJILAN,Services,Not Provided,116,Dekorimi I qytetit te Gjilanit per festat e funde vitit,2014,CREATIV DESING,Gjilan,12-Dec-14,"9,876","9,876.00",Not Provided,9876,0
1509,GJILAN,Services,Not Provided,119,Rregullimi I hapesirave mbrenda varrezave te qytetit,2014,GOBI MI,Gjilan,18-Dec-14,"9,943","9,942.50",Not Provided,9942.5,0
1510,GJAKOVE,Services,National Budget,42,_Riparimi dhe mirembajtja e automjeteve zyrtare te Komunes se Gjakoves Ó,2014,GOLF X,Gjakove,22-Dec-14,"30,000","30,000.00",Not Provided,30000,0
1511,PRISHTINE,Services,Not Provided,193,Kontrollimi teknik i automjeteve,2014,REFORMA,Prishtine,30-Dec-14,"10,000","10,000.00",Not Provided,10000,0
1512,PRISHTINE,Supply,Not Provided,201,Furnizimi me goma dhe bateri per Brigaden e Zjarrfiksave dhe automjete tjera,2014,EURO DELTA NTSH,Fushe Kosove,30-Dec-14,"10,000","10,000.00",Not Provided,10000,0
1513,VITI,Services,Not Provided,79,Mirmbatja verore dhe dimrore e rrugeve ne territorin e komunes se Vitise,2014,ZUKA COMPANY & TALI SHPK,Gjilan,31-Dec-14,"48,000","48,000.00",0,48000,0
1514,FERIZAJ,Jobs,Municipal Budget,33,Ndertimi i vrazhde i shkolles ne fshatin Greme,2014,BARDHI NTP,Ferizaj,Not Provided,"28,921",Not Provided,"28,920.81",28920.81,0
1547,GJAKOVE,Jobs,Donation,69,_Ndertimi i lapidarit ne fshatin Berjahe (faza e II-te)Ó,2014,KORBEN,Gjakove,8-Dec-14,"7,951","7,950.46",Not Provided,7950.46,0
1563,FERIZAJ,Services,Not Provided,140,"Furnizim me 1 (nje) aparat te mamografise per diagnostifikimin e kancerit te gjirit me 10 aparate per EKG, 5 sterilizator per nevoja te QKMF",2014,MEDIKA,Prishtine,11-Nov-14,"42,000","41,990.00",Not Provided,41990,0
1565,FERIZAJ,Jobs,Not Provided,100,"Asfaltimi I dy rrugeve ne fshatin Varosh-lagja Hetaj dhe ""Kurtaliqi""-aneks",2014,ATC COM NNP,Kacanik,22-Sep-14,"1,953",Not Provided,"1,952.00",1952,0
1573,HANI I ELEZIT,Supply,National Budget,10,"Ndriqimi publik per disa lagje te Hanit te Elezit (Mirembajtja e ndriqimit publik te qytetit, Ndriqimi publik te lagja e re, Ndriqimi publik shkolla fillore deri te Ranajt, Ndriqimi publik Lagja e Curreve - te Vilt)",2014,ELEKTRA NTSH,Hani I Elezit,10-Apr-14,"5,000","4,997.40",0,4997.4,0
1575,FERIZAJ,Jobs,Municipal Budget,24,Renovimi i zyreve ne sh.f. ''Ganimete Terbeshi''.,2014,BARDHI NTP,Ferizaj,17-Apr-14,"3,680","3,678.00",Not Provided,3678,0
1580,FERIZAJ,Jobs,Not Provided,88,Meremtimi I objektit shendetesor ne fshatin Mirosal,2014,TONI COM SHPK,Ferizaj,25-Aug-14,"6,930","6,925.00",Not Provided,6925,0
1614,VITI,Jobs,Not Provided,72,"Asfalltimi i rrugeve ne hyrje te sh.f ""Bafti Haxhiu""-Viti, dhe sh.f ""Ndre Mjeda"" ne Kabash",2014,PAPENBURG & ADRIANI,Ferizaj,5-Nov-14,"9,950","9,934.15",0,9934.15,0
1626,FERIZAJ,Supply,Municipal Budget,21,Furnizimi me lodra femijesh per _erdhen e femijeve _Ardhmeria joneÓ.,2014,ABETARE NTP,Ferizaj,10-Apr-14,"1,200","1,197.60",Not Provided,1197.6,0
1636,PRISHTINE,Services,Not Provided,115,Pergaditja dhe realizimi I skenarit per Organizimi e Muajit Te Rinise,2014,LIGHT DESIGN STUDIO,Podujeve,22-Sep-14,"8,500","8,480.00",Not Provided,8480,0
1642,HANI I ELEZIT,Supply,National Budget,29,Furnizim me kompjuter per nevoja te administrates komunale,2014,ELEKTRA NTSH,Hani I Elezit,9-Sep-14,"10,000","9,975.00",0,9975,0
1644,FERIZAJ,Services,Not Provided,75,Vaksoonimi I deleve dhe dhive kunder smundjeve infektive Enterotoksemia,2014,AV ANIMALS,Ferizaj,29-Jul-14,"7,500","7,480.00",Not Provided,7480,0
1648,VITI,Jobs,Not Provided,61,Renovimi i shkolles se vjeter ne fshatin Stubell e Eperme,2014,ECO GJEO ING,Viti,25-Sep-14,"5,000","4,985.83",0,4985.83,0
1651,HANI I ELEZIT,Supply,National Budget,30,Furnizimi dhe vendosja e kamerave neper disa pika ne qender te Hanit te Elezit,2014,ELEKTRA NTSH,Hani I Elezit,10-Sep-14,"10,000","9,970.00",0,9970,0
1654,PRISHTINE,Jobs,Not Provided,75,Ndertimi dhe modernizimi I semaforeve ne Prishtine per vitin 2014,2014,EKO INVEST & LA SEMAFORI,Prishtine,3-Oct-14,"150,000","149,531.00",Not Provided,149531,0
1657,VITI,Services,Not Provided,2,Sherbimet e internetit per shkollat e komunes se Vitise,2014,COMNET SHPK,Ferizaj,1-Mar-14,"2,520","2,511.60",0,2511.6,0
1668,FERIZAJ,Supply,Not Provided,66,"Renovimi i nje pjese te kulmit,murevete te jashtme dhe te mbrendshme te Komunes-Ferizaj.",2014,DONELI NN,Ferizaj,15-Jul-14,"3,500","3,486.00",Not Provided,3486,0
1670,FERIZAJ,Services,Not Provided,93,"Furnizimi ,montimi I ashensorit",2014,HEES,Ferizaj,8-Sep-14,"9,999","9,957.92",Not Provided,9957.92,0
1674,HANI I ELEZIT,Services,Municipal Budget,27,Sherbimi I matjes dhe regjistrimi I rrugeve publike te Hanit te Elezit,2014,GEODATA NPSH,Kacanik,18-Aug-14,"9,000","8,960.50",0,8960.5,0
1682,VITI,Jobs,Not Provided,40,Ndertimi rrjetit te ndricimit publik ne fshatin Kabash,2014,RIDA NTP,Viti,17-Jul-14,"2,900","2,886.50",0,2886.5,0
1687,HANI I ELEZIT,Supply,Municipal Budget,4,Furnizim me laptope per asambleiste dhe drejtorite komunale,2014,PROMIX NPT,Ferizaj,19-Mar-14,"10,000","9,951.00",0,9951,0
1693,FERIZAJ,Supply,Municipal Budget,40,Furnizimi me kabine per Trafo 630 kVA dhe furnizimi me Trafo 630 kVA 10/20 ne Zonen Industriale ne Prelez te Muhaxhereve.,2014,ELEKTRO HETA NTSH,Ferizaj,26-May-14,"10,000","9,950.00",Not Provided,9950,-0.01
1695,HANI I ELEZIT,Services,Municipal & National Budget,37,Shtrim me kubeza ne Lagjen curri - rruga e rezervuarit dhe ne mahallen Quni (lagja e Ujit te Tharte),2014,KEMA COMPANY SHPK,Lipjani,27-Nov-14,"10,000","9,948.85",0,9948.85,-0.01
1697,PRISHTINE,Supply,Not Provided,136,Furn. me paisje mjeks. per realizimin e vizitave sistematike ne shkollat fillore ne k.e Prishtines,2014,KOSLABOR,Suhareke,15-Oct-14,"5,800","5,770.00",Not Provided,5770,-0.01
1700,VITI,Jobs,Not Provided,81,Rregullim i zhveshtores dhe infrastruktures rreth Fushes sportive ne Skifteraj,2014,MERGIMI,Viti,27-Nov-14,"9,200","9,150.90",0,9150.9,-0.01
1709,FERIZAJ,Jobs,Not Provided,86,Ndertimi dhe vendosja e tabelave ne qytet dhe ne fshatrat e Komunes,2014,BEHARI COMERC NPT,Ferizaj,22-Aug-14,"8,800","8,750.00",Not Provided,8750,-0.01
1710,FERIZAJ,Jobs,Municipal Budget,28,Meremetimi i shkolles fillore _Jeta e ReÓ ne fshatin Greme.,2014,SHEMA SHPK,Ferizaj,23-Apr-14,"350,000","347,993.49",Not Provided,347993.49,-0.01
1718,FERIZAJ,Jobs,Municipal Budget,43,Pastrimi i shtratit te lumit Neredime - Dega veriore per eliminimin e vershimeve.,2014,FLO RIMI - FE NPT,Ferizaj,27-May-14,"10,000","9,936.00",Not Provided,9936,-0.01
1728,PRISHTINE,Services,Not Provided,68,Riparimi dhe riaftesimi I sistemit te alarmit publik ne qytetin e Prishtines,2014,MF SYSTEMS,Prishtine,22-Jul-14,"10,000","9,930.00",Not Provided,9930,-0.01
1737,GJAKOVE,Supply,National Budget,77,_Furnizim me material zyrtarÓ,2014,NOBELI,Gjakove,22-Dec-14,"5,956","5,910.25",Not Provided,5910.25,-0.01
1740,HANI I ELEZIT,Services,Municipal & National Budget,17,Rregullimi I parkut te Varrezat e Deshmoreve - Pustenik (gjelbrimi dhe sistemi I ujitjes),2014,KRAS SHPK,Hani I Elezit,2-Jun-14,"10,000","9,922.50",0,9922.5,-0.01
1742,FERIZAJ,Jobs,Not Provided,113,Riparimi kanalizimit fekal ne fshatin Sazli,2014,ARLINDI,Ferizaj,9-Oct-14,"10,000","9,921.90",Not Provided,9921.9,-0.01
1746,FERIZAJ,Supply,Municipal Budget,22,Furnizimi me material per rregullimin e sheshit ''Agim Matoshi'' ne rr.''Enver Topalli''- Ferizaj.,2014,ATC COM NNP,Kacanik,16-Apr-14,"7,700","7,639.06",Not Provided,7639.06,-0.01
1749,FERIZAJ,Jobs,Municipal Budget,23,Riparimi i kanalizimit fekal ne rr.ÓRexhep DemiriÓ - Ferizaj.,2014,ESKAVATORI COMPANY,Ferizaj,16-Apr-14,"3,000","2,976.00",Not Provided,2976,-0.01
1750,PRISHTINE,Services,Not Provided,7,Projekti I veterines mobile,2014,SPANA&VETERINA,Prishtine,18-Apr-14,"25,000","24,800.00",Not Provided,24800,-0.01
1751,FERIZAJ,Services,Not Provided,72,Pastrimi i varrezave te qytetit,2014,IDEALI NSHP,Ferizaj,24-Jul-14,"2,500","2,480.00",Not Provided,2480,-0.01
1752,VITI,Jobs,Not Provided,59,Asfalltimi i platos ne Statcionin e autobuseve,2014,PAPENBURG & ADRIANI,Ferizaj,3-Oct-14,"9,920","9,840.00",0,9840,-0.01
1753,VITI,Supply,Not Provided,15,Furnizimi me foli najloni per serra (foli nga polietileni),2014,AGRO PHARMA NTP,Viti,8-Apr-14,"9,900","9,820.12",0,9820.12,-0.01
1754,FERIZAJ,Jobs,Not Provided,102,"Riparimi I kanalizimit fekal ne rruge ""Enver Topalli""",2014,ARLINDI,Ferizaj,25-Sep-14,"10,000","9,918.57",Not Provided,9918.57,-0.01
1757,GJAKOVE,Supply,National Budget,44,"_Furnizim me perde zeber,perde store,perde trake dhe roletne venecianeÓ",2014,GENCI ROL,Prishtine,15-Aug-14,"9,261","9,184.36",Not Provided,9184.36,-0.01
1762,GJAKOVE,Services,National Budget,2,_Mirembajtja e objektve te Komunes se Gjakoves Ó,2014,SFK,Prizren,26-Mar-14,"52,500","52,051.80",Not Provided,52051.8,-0.01
1763,PRISHTINE,Supply,Not Provided,128,Furnizimi me dy autoambulanca per nevojat e QMU-se,2014,DELFIN & NERA MED,Prishtine,25-Nov-14,"120,000","118,960.00",Not Provided,118960,-0.01
1765,PRISHTINE,Supply,Not Provided,74,"Furnizimi, montimi dhe servisimi i klimave ne Kuvendin Komunal i",2014,AC MONT,Prishtine,4-Aug-14,"8,000","7,930.00",Not Provided,7930,-0.01
1766,VITI,Services,Not Provided,80,Sherbimet e shenjezimit dhe vijezimit horizontal,2014,KROSA NSH,Ferizaj,8-Dec-14,"9,770","9,683.80",0,9683.8,-0.01
1773,FERIZAJ,Jobs,Not Provided,101,Pastrimi dhe rregullimi I shtratereve te lumit Neredime dhe ne fshatin Balaj deri te ura e Dudit.,2014,ARLINDI,Ferizaj,22-Sep-14,"10,000","9,907.00",Not Provided,9907,-0.01
1786,FERIZAJ,Services,Not Provided,67,"Mirembajtja e kampingut veror""Jezerci 2014"" ne Jezerc",2014,GJELLTORE BUDAKU DPH,Ferizaj,16-Jul-14,"8,000","7,920.00",Not Provided,7920,-0.01
1787,FERIZAJ,Services,Not Provided,128,Ndryshimi dhe plotesimi I planiturban z.8,2014,INSI SHPK,Prishtine,24-Oct-14,"10,000","9,900.00",Not Provided,9900,-0.01
1792,PRISHTINE,Jobs,Not Provided,28,Sanimi I kanalizimit fekal te Sheshi Nena Tereze,2014,NENTE VELLEZEREIT,Prishtine,29-Apr-14,"9,970","9,868.20",Not Provided,9868.2,-0.01
1795,PRISHTINE,Services,Not Provided,98,"Organizimi I festivalit ""Ylberi I Prishtines""-pjesa teknike",2014,LIGHT PRODUCTION,Podujeve,5-Sep-14,"9,992","9,888.00",Not Provided,9888,-0.01
1798,FERIZAJ,Services,Municipal Budget,45,Rregullimi i sheshit ''Adem Jashari'' per percjelljen e kampionatit boteror ne futboll ''Brazili 2014''.,2014,SFX VISUALS NSH,Kacanik,3-Jun-14,"10,000","9,890.00",Not Provided,9890,-0.01
1799,FERIZAJ,Services,Not Provided,125,Ndryshimi dhe plotesimi I planiturban z.I,2014,SHT INS SHPK,Prishtine,20-Oct-14,"10,000","9,890.00",Not Provided,9890,-0.01
1808,PRISHTINE,Services,Not Provided,113,Festivali Nderkombetare I Teatrove te Kukullave Akomodimi dhe transporti,2014,LIGHT DESIGN STUDIO,Podujeve,15-Aug-14,"7,800","7,710.00",Not Provided,7710,-0.01
1809,FERIZAJ,Jobs,Municipal Budget,60,"Riparimi i kanalizimit fekal ne Lagjen e ""Mihaliceve""ne Prelez te Muhaxhereve-Ferizaj.",2014,BERISHA COMPANY SHA,Ferizaj,30-Jun-14,"10,000","9,882.50",Not Provided,9882.5,-0.01
1822,FERIZAJ,Supply,Municipal Budget,011/a,Furnizimi dhe mbjellja e luleve sezonale ne qytet.,2014,IDEALI NSHP,Ferizaj,21-Mar-14,"10,000","9,872.00",Not Provided,9872,-0.01
1824,HANI I ELEZIT,Services,National Budget,43,Pastrimi I rezervuareve te ujesjellsit te qytetit dhe furnizimi me zhavor per mbushjen e tyre,2014,KRAS SHPK,Not Provided,15-Dec-14,"10,000","9,869.94",0,9869.94,-0.01
1825,GJAKOVE,Supply,National Budget,59,_Instalimi i kamerave ne sh.f..ÓZef Lush MarkuÓÓ,2014,KIBERNETIKA,Gjakove,10-Oct-14,"2,998","2,959.00",Not Provided,2959,-0.01
1835,PRISHTINE,Services,Not Provided,22,Hartimi I projekteve per disa rruge ne fshatra te Komunes se Prishtines-Grupi I Dyte-LOT 3,2014,PROJECT PLUS,Prishtine,1-Jul-14,"1,750","1,725.00",Not Provided,1725,-0.01
1842,HANI I ELEZIT,Supply,National Budget,3,"Furnizim me material administrativ-shpenzues per administraten komunale, shkollat, QKMF-ne, zjarrfikesit"" - kontrate 1 vjecare",2014,ABC DPT,Hani I Elezit,14-Mar-14,"9,950","9,796.54",0,9796.54,-0.02
1845,HANI I ELEZIT,Services,Municipal Budget,38,Suvatimi I shkolles se fshatit Lac dhe shkolles se Rezhances,2014,VALI COM NN,Hani I Elezit,26-Nov-14,"5,000","4,919.80",0,4919.8,-0.02
1846,FERIZAJ,Jobs,Municipal Budget,56,Asfaltimi i rruges ne fshatin Pleshine te fabrika e Ujit-Ferizaj,2014,STRASSEN & TIEFBAU NNP,Ferizaj,24-Jun-14,"75,000","73,791.08",Not Provided,73791.08,-0.02
