ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
36,KACANIK,Jobs,Unknown,KA652/10/41/521,Meremetimi I shtepise se Kultures ne fshatin Glloboqice,2010,ATC COM NNP,Kacanik,20-Sep-10,Not Provided,18923.55,Not Provided,18923.55,N/A,Not Applicable
37,KACANIK,Jobs,Unknown,KA652/10/46/521,Ndertimi I trotuarit ne rrugen dalese kryesore nga Kacaniku dhe rampave per personat me aftesi te kufizuara,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,7035.89,Not Provided,7035.89,N/A,Not Applicable
38,KACANIK,Jobs,Unknown,KA652/10/49/521,Ndertimi I byfese ne katin e pare mbi zyren e pritjes,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,14875.96,Not Provided,14875.96,N/A,Not Applicable
39,KACANIK,Services,Unknown,KA652/10/51/236,Ndertimi I trotuarit ne rrugen Vllezerit ‚aka,2010,REMA NTSH,Kacanik,15-Oct-10,Not Provided,9956.66,Not Provided,9956.66,N/A,Not Applicable
40,KACANIK,Supply,Unknown,KA652/10/047/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te venditÓ dhe shkurtimi I tyre",2010,KEMI NPSH,Kacanik,25-Oct-10,Not Provided,34916,Not Provided,34916,N/A,Not Applicable
41,KACANIK,Jobs,Unknown,KA652/10/52/521,"Ndertimi I rrjetit te ujsjellsit, rezervareve dhe kaptazhes per fshani Glloboqic",2010,BURIMI SHPK,Kacanik,25-Oct-10,Not Provided,159566.2,Not Provided,159566.2,N/A,Not Applicable
42,KACANIK,Services,Unknown,KA652/10/54/236,"Ndertimi I tumbines ne fsh.Kovace dhe vendosja e gypit ne fsh.Bajnic te Sh.F'Nazmi Osmani""",2010,EUROTRANS NNT,Kacanik,2-Nov-10,Not Provided,6870.52,Not Provided,6870.52,N/A,Not Applicable
43,KACANIK,Services,Unknown,KA652/10/58/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Ahmetaj dhe Tron ne fsh.Kovacec-Kacanik,2010,MURSELI COMPANY SHPK,Kacanik,2-Nov-10,Not Provided,1500,Not Provided,1500,N/A,Not Applicable
44,KACANIK,Jobs,Unknown,KA652/10/42/521,Asfaltimi I rruges Lamaj - Cak - Tifek,2010,BURIMI SHPK,Kacanik,3-Nov-10,Not Provided,90050.75,Not Provided,90050.75,N/A,Not Applicable
45,KACANIK,Jobs,Unknown,KA652/10/030/521,"Pastrimi I perronjeve ne Komunen e Kacanikut , Aneks Kontrat",2010,VLLEZRIT DEMA NT,Kacanik,8-Nov-10,Not Provided,3816,Not Provided,3816,N/A,Not Applicable
46,KACANIK,Jobs,Unknown,KA652/10/53/521,Ndertimi I shkolles fillore ne fshatin Vate -Dubrave,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,191238.73,Not Provided,191238.73,N/A,Not Applicable
47,KACANIK,Services,Unknown,KA652/10/57/236,Meremetimi I banjove ne QKMF-ne-Kacanik,2010,AR DRITI NTSH,Ferizaj,9-Nov-10,Not Provided,1298.51,Not Provided,1298.51,N/A,Not Applicable
48,KACANIK,Services,Unknown,KA652/10/59/236,Sanimi I rrjetit te kanalizimit fekal ne rrugen Agim Bajrmi,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,1999.46,Not Provided,1999.46,N/A,Not Applicable
49,KACANIK,Supply,Unknown,KA652/10/60/136,Furnizim me tonera per nevojat e Administrates Komunale,2010,BESS TONERS NTSH,Gjilan,11-Nov-10,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
50,KACANIK,Supply,Unknown,KA652/10/61/136,"Furnizim me material te ujsjellsit ne fsh,Reke-Kacanik",2010,TE LUTA NTSH,Kacanik,11-Nov-10,Not Provided,2935.1,Not Provided,2935.1,N/A,Not Applicable
51,KACANIK,Services,Unknown,KA652/10/56/521,Mirmbajtja Verore dhe Dimrore e rrugeve ne Komunen e Kacanikut,2010,MAGJISTRALJA NNT,Gjilan,15-Nov-10,Not Provided,55000,Not Provided,55000,N/A,Not Applicable
52,KACANIK,Supply,Unknown,KA652/10/62/136,Furnizimi dhe montimi I pompes per nxemjen qendrore neQKMF-,2010,AR DRITI NTSH,Kacanik,1-Dec-10,Not Provided,1800,Not Provided,1800,N/A,Not Applicable
53,KACANIK,Services,Unknown,KA652/10/63/236,Regullimi I kanalizimit ne rrugen deshmoret e lirise,2010,UNIPROJEKT NPN,Kacanik,1-Dec-10,Not Provided,1949.25,Not Provided,1949.25,N/A,Not Applicable
54,KACANIK,Jobs,Unknown,KA652/10/55/521,Rregullimi dhe asfalltimi I rrugeve Lokale,2010,MAGJISTRALJA NNT,Gjilan,8-Dec-10,Not Provided,50000,Not Provided,50000,N/A,Not Applicable
55,KACANIK,Supply,Unknown,KA652/10/64/136,Furnizim me tepison per shkollat,2010,EDONA DPT,Kacanik,13-Dec-10,Not Provided,2010.2,Not Provided,2010.2,N/A,Not Applicable
