ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
1539,GJILAN,Services,2,110,Servisimi dhe mirembajtja e automjeteve,2013,SABBA R,Gjilan,11-Nov-13,8000.01,8000,Not Provided,8000,0,0
1540,FERIZAJ,Jobs,1,71,"Asfaltimi i rr.,,Mejdi Xhaferi,, dhe rruges ,,2 Korriku,, ne Ferizaj",2011,COMPANY ZUKA COMMERCE,Gjilan,5-Jul-11,40466,40465.95,0,40465.95,0,0
1541,FERIZAJ,Jobs,"1, 2",53,"Rregullimi i rrjetit te kanalizimit fekal ne Fsh.Sojeve, Komuna e Ferizajt",2011,BERISHA COMPANY SHA,Ferizaj,14-Jun-11,278449,278448.53,0,278448.53,0,0
1542,FERIZAJ,Jobs,2,31,"Renovimi i shkolles fillore ne Fshatin Talinoc i Muhaxhereve, Komuna e Ferizajt",2011,TERMO COM NNP,Prishtine,25-May-11,57380,57379.89,0,57379.89,0,0
1543,FERIZAJ,Jobs,1,24,"Rregullimi i rrjetit te kan.fekal ne Fsh.Lloshkobare ne lagjen e Bubliceve, Komuna e Ferizaj",2011,GJASHTè VèLLEZRIT BATATINA,Podujeve,18-May-11,67233,67232.84,0,67232.84,0,0
1544,FERIZAJ,Jobs,2,70,"Renovimi i shkolles fillore ,,Gjon Serreci,, ne Ferizaj",2011,BARDHI NTP,Ferizaj,5-Jul-11,48332,48331.86,0,48331.86,0,0
1545,FERIZAJ,Jobs,"1, 2",27,"Ndertimi i rrjetit te kanalizimit fekal ne Fsh. Nerodime te Poshtme, Komuna Ferizaj",2012,LINDA SHPK,Ferizaj,3-May-12,94173,94172.55,0,94172.55,0,0
1546,FERIZAJ,Jobs,"1, 2",25,Kanalizimi fekal ne fshatin Nerodime e Eperme,2012,ATC COM NNP,Ferizaj,2-May-12,70559,70558.66,0,70558.66,0,0
1547,GJAKOVè,Jobs,3,69,ÒNdertimi i lapidarit ne fshatin Berjahe (faza e II-te)Ó,2014,KORBEN,Gjakove,8-Dec-14,7950.5,7950.46,Not Provided,7950.46,0,0
1548,FERIZAJ,Jobs,"1, 2",52,"Asfaltimi i kater rr. qe lidhin rr. ,,V.Gervalla,, me rr. ,,Kadri Zeka,,Ferizaj",2011,GASHI ING NNTPP,Suhareke,14-Jun-11,66124,66123.64,0,66123.64,0,0
1549,FERIZAJ,Jobs,"1, 2",35,"Asfaltimi i rruges ,,Bekim Osmani,, ne Ferizaj LOT-I-",2011,BAGERI NPSH,Ferizaj,31-May-11,54533,54532.7,0,54532.7,0,0
1550,FERIZAJ,Jobs,2,105,"Renovimi i sh.f. ÒL.Reka,,ne Fsh.P.i Muhaxhereve K.e Ferizajt LOT-I-",2011,BETONI NNP,Ferizaj,2-Aug-11,42168,42167.7,0,42167.7,0,0
1551,FERIZAJ,Jobs,1,37,"Zgjerimi dhe rregu.i trotoarit ne rr,,Gjon Serreci,, ne Ferizaj",2011,EURO PARKU NTP,Ferizaj,31-May-11,13328,13327.9,0,13327.9,0,0
1552,FERIZAJ,Jobs,1,16,"Ndertimi i objektit te zyres civile ne Fshatin Dardani, Komuna e Ferizajt",2011,Û$ COMERCE NTSH,Ferizaj,13-May-11,37244,37243.57,0,37243.57,0,0
1553,FERIZAJ,Jobs,"1, 2",42,"Rregullimi i ndriqimit publik (faza e dyte) i rruges ,,E Recakut,, ne Ferizaj LOT-II-",2011,TERMOMONTIMI,Prishtine,3-Jun-11,23463,23462.5,0,23462.5,0,0
1554,FERIZAJ,Supply,2,140,"Furnizim me material-hekur per rrethojen e Shk. F. ne fsh.Gacke, Komuna e Ferizajt",2011,METALIKU NZP,Gjilan,23-Sep-11,4700,4699.88,0,4699.88,0,0
1555,FERIZAJ,Jobs,1,87,Asfaltimi i rruges rreth QMF-II- dhe rregullimi i parkut ne Ferizaj,2011,ESKAVATORI COMPANY,Ferizaj,19-Jul-11,11203,11202.5,0,11202.5,0,0
1556,PRISHTINè,Jobs,2,101,"Renov i kulmit ne shk. ""N.Mustafa"" dhe rreg. ventilimit dhe ngrohjes-pj. e II-te",2012,TERMOVISION SHPK,Prishtine,1-Aug-12,8000,7999.39,Not Provided,7999.39,0,0
1557,GJAKOVè,Supply,2,70,ÒFurnizim me perde trake Ó,2013,GENCI ROL,Prishtine,21-Nov-13,7560.44,7559.84,Not Provided,7559.84,0,0
1558,KACANIK,Jobs,"1, 2",84,Sanimi I rrjetit te ujesjellsit ne segmentet Doganaj - Elezaj - Dubrave - Nike,2013,MURSELI COMPANY SHPK,Kacanik,29-Nov-13,7500,7498.77,Not Provided,7498.77,0,0
1559,FERIZAJ,Supply,"1, 2",133,"Furnizimi dhe vendosja e gypave PESN ¯400mm, gypave te metalit DN ¯350mm dhe kapakve prej gizes Q-30T per kanalizim fekal ne fsh.Prelez i Muhagjerve",2011,KUSHTRIMI NM NTSH,Viti,16-Sep-11,9984.73,9983,0,9983,0,0
1560,FERIZAJ,Jobs,1,144,Rregullimi i Lapidarit ne Pleshine-Ferizaj,2011,NUHA BAUU GMBH,Ferizaj,26-Sep-11,18000,17996.8,0,17996.8,0,0
1561,FERIZAJ,Jobs,1,132,"Renovimi dhe ndertimi i aneksit te shk.fill. ,,Liman Reka,, ne Fsh.Prelez i Muhaxhereve",2012,BETONI NNP,Ferizaj,5-Sep-12,9959,9956.8,0,9956.8,0,0
1562,HANI I ELEZIT,Supply,2,26,"Punimi I nje pjese te kulmit te shkolles se mesme ""Dardania""",2012,BALKAN TRUST LLC,Prishtine,28-Aug-12,9500,9497.75,0,9497.75,0,0
1563,FERIZAJ,Services,Unknown,140,"Furnizim me 1 (nje) aparat te mamografise per diagnostifikimin e kancerit te gjirit me 10 aparate per EKG, 5 sterilizator per nevoja te QKMF",2014,MEDIKA,Prishtine,11-Nov-14,42000,41990,Not Provided,41990,0,0
1564,KACANIK,Jobs,2,71,Ngjyrosje e mbrenshme e objektit te Shkolles se Mesme Skenderbeu,2013,BESNIKèT DBT,Kacanik,6-Nov-13,8000,7998,Not Provided,7998,0,0
1565,FERIZAJ,Jobs,Unknown,100,"Asfaltimi I dy rrugeve ne fshatin Varosh-lagja Hetaj dhe ""Kurtaliqi""-aneks",2014,ATC COM NNP,Kacanik,22-Sep-14,1952.6,Not Provided,1952,1952,0,0
1566,GJAKOVè,Supply,2,36,"""Furnizim me rroba dhe kepuce per pune'",2013,BIG STAR,Gjakove,2-Jul-13,2000,1999.32,Not Provided,1999.32,0,0
1567,HANI I ELEZIT,Supply,2,43,"Furnizim me material per mirembajtje per ujesjelles, kanalizim, elektrifikim",2011,ELTELLA NT,Hani I Elezit,21-Nov-11,2700,2699,0,2699,0,0
1568,VITI,Supply,Unknown,54,Furnizim me material per ndertimin e shtepive per skamnore.,2011,PUNèTORI,Viti,8-Sep-11,20400,20390.9,0,20390.9,0,0
1569,HANI I ELEZIT,Services,1,60,Punimi I ndriqimit publik neper Han te Elezit,2011,ELEKTRA NTSH,Hani I Elezit,14-Dec-11,10000,9995.5,0,9995.5,0,0
1570,GJILAN,Design Contest,2,175,Hartimi I dokumentac inv.teknik rr.Verbic-sllovi,2012,GJEOTEKNIKA,Gjilan,23-Apr-12,43800,43780,Not Provided,43780,0,0
1571,FERIZAJ,Services,1,151,Rregullimi dhe lidhja e kanalizimit te 2 rrugeve te ‚erdhja e Qytetit,2012,RAHOVICA COMERC NTP,Ferizaj,14-Sep-12,9500,9495.32,0,9495.32,0,0
1572,FERIZAJ,Services,2,142,"Riparimi i fushes sportive ne shk. Fill. ,,Astrit Bytyqi,, ne Ferizaj",2012,DRITONI NN,Ferizaj,6-Sep-12,10000,9995,0,9995,0,0
1573,HANI I ELEZIT,Supply,2,10,"Ndriqimi publik per disa lagje te Hanit te Elezit (Mirembajtja e ndriqimit publik te qytetit, Ndriqimi publik te lagja e re, Ndriqimi publik shkolla fillore deri te Ranajt, Ndriqimi publik Lagja e Curreve - te Vilt)",2014,ELEKTRA NTSH,Hani I Elezit,10-Apr-14,5000,4997.4,0,4997.4,0,0
1574,GJAKOVè,Supply,2,40,"""Furnizim me inventar""",2013,ARDI CONSTRUCT,Gjakove,17-Jul-13,9200,9195,Not Provided,9195,0,0
1575,FERIZAJ,Jobs,1,24,Renovimi i zyreve ne sh.f. ''Ganimete Terbeshi''.,2014,BARDHI NTP,Ferizaj,17-Apr-14,3680,3678,Not Provided,3678,0,0
1576,GJILAN,Services,2,131,Ofrimi i sherbimeve profesionale pedagogjike per nevoja te arsimit,2012,KCIC,Gjilan,5-Dec-12,9800,9794.4,Not Provided,9794.4,0,0
1577,GJILAN,Jobs,2,106,Hapja e trases se rruges nga kthesa e Perlepnices deri ne hyrje te fshatit,2012,EUROTRANS,Gjilan,1-Oct-12,9950,9944,Not Provided,9944,0,0
1578,HANI I ELEZIT,Services,2,56,Punimi I mureve te rrenuara pergjate rruges Hani I Elezit - Gorance (Muri I Vildane Hasallarit dhe Basri Hasallarit),2011,KONSTRUKSIONI NN,Hani I Elezit,8-Dec-11,10000,9993.5,0,9993.5,0,0
1579,FERIZAJ,Jobs,2,152,Regullimi i oborrit te shkolles fillore ne Fshatin Muhoc,2011,M&F2 NNP,Ferizaj,14-Oct-11,7000,6995,0,6995,0,0
1580,FERIZAJ,Jobs,Unknown,88,Meremtimi I objektit shendetesor ne fshatin Mirosal,2014,TONI COM SHPK,Ferizaj,25-Aug-14,6930,6925,Not Provided,6925,0,0
1581,GJILAN,Services,2,174,Transporti i punetoreve dhe nxenesve LOT iX,2012,ADMIRI TRANS,Gjilan,31-Jan-12,13700,13690,Not Provided,13690,0,0
1582,GJILAN,Jobs,2,8,Mirembajtja teknike e objekteve komunale,2012,CDC SHPK,Gjilan,16-Mar-12,305000,304774.42,Not Provided,304774.42,0,0
1583,GJILAN,Supply,2,168,Furnizim me tonera LOT II,2012,ABC NTP,Gjilan,6-Feb-12,26500,26479.9,Not Provided,26479.9,0,0
1584,GJILAN,Supply,2,13,Furnizim me lodra per institucionet parashkollore dhe shkollat fillore,2012,ABC NTP,Gjilan,25-May-12,10000,9992.35,Not Provided,9992.35,0,0
1585,PRISHTINè,Services,2,212,Nderlidhja e sistemit te intranetit dhe sistemit te gjendjes civile,2011,DATA PROGNET NSH,Ferizaj,14-Nov-11,6000,5995,Not Provided,5995,0,0
1586,HANI I ELEZIT,Jobs,2,56,Shtrimi me kubeza betoni I nje pjese ne lagjen Uji I Tharte - Lagjja Bushi (L1=125 m' & L2=55m'),2013,KEMA COMPANY,Lipjani,9-Dec-13,10000,9991.5,0,9991.5,0,0
1587,PRISHTINè,Jobs,2,107,Asfaltimi i rrugeve ne Mat - grupi i II-te,2012,BEJTA KOMERC,Ferizaj,14-Aug-12,500000,499525,Not Provided,499525,0,0
1588,HANI I ELEZIT,Services,1,61,Punimi I ujesjellsit ne Lagjen Kollomoqe,2011,ESKAVATORI SHPK,Ferizaj,16-Dec-11,5850,5844.3,0,5844.3,0,0
1589,GJILAN,Jobs,2,112,Rreg.i lumit dhe vendosja e permendores nr Sheshin e lirise -Bresalc,2012,EL BAU,Gjilan,19-Oct-12,60000,59941,Not Provided,59941,0,0
1590,VITI,Jobs,Unknown,58,Renovimi i Objektit te QPS ne Viti,2011,ARDI CONSTRUCT,Gjilan,19-Sep-11,10000,9990,0,9990,0,0
1591,PRISHTINè,Supply,2,196,Melorimi i livadheve dhe kullosave,2012,AGRO KOP,Prishtine,27-Nov-12,50000,49950,Not Provided,49950,0,0
1592,FERIZAJ,Services,1,83,Mbajtja e kampingut veror ''Jezerci 2013'' ne Jezerc.,2013,GJELLTORE BUDAKI DPH,Ferizaj,30-Jul-13,10000,9990,Not Provided,9990,0,0
1593,HANI I ELEZIT,Jobs,1,13,Punimi I kanalizimit ne lagjen Curri ne Han te Elezit(rruga e fshatit Curr),2013,MALI NN,Hani I Elezit,29-May-13,5000,4994.6,0,4994.6,0,0
1594,HANI I ELEZIT,Supply,2,30,"Furnizim me roletne-perde per shkollen e Paldenices, shkollen e mesme dhe 2 katet ne shkolles Ilaz ThaÌ_i",2011,KALAJA NPT,Kacanik,24-Oct-11,10000,9988,0,9988,0,0
1595,HANI I ELEZIT,Services,2,57,Renovimi dhe ngjyrosje e QKMF-Hani I Elezit,2013,SUVATIMI,Hani I Elezit,10-Dec-13,5000,4994,0,4994,0,0
1596,VITI,Supply,Unknown,34,Furnizim me material higjenik per te gjitha njesit shpenzuese,2012,ERMALI COM,Ferizaj,25-Jun-12,9800,9788,0,9788,0,0
1597,GJILAN,Supply,2,72,Furnizim me zhavor dhe kapak te pusetave rr. Zheger,2012,TALI,Gjilan,4-Jul-12,9800,9788,Not Provided,9788,0,0
1598,PRISHTINè,Supply,2,209,Perkrahja - mbeshtetja per punetoret e Komunes,2012,INTER EMINEX,Prishtine,18-Dec-12,50062.3,50000,Not Provided,50000,0,0
1599,KACANIK,Jobs,2,21,Zgjerimi dhe Asfaltimi I rruges ne fshatin Biqece dhe Nike,2013,EUROTRANS NNT,Kacanik,17-Jun-13,40000,39950.2,Not Provided,39950.2,0,0
1600,HANI I ELEZIT,Services,3,42,Trajtimi I hapsirave publike te shkolla fillore Ilaz ThaÌ_i,2011,ARTI NTP,Pozharan,21-Nov-11,2000,1997.5,0,1997.5,0,0
1601,FERIZAJ,Supply,1,11,Furnizim dhe rregullim-riparim te parqeve te qytetit me drunje dekorative dhe lule,2011,LAS PALMAS NTP,Lipjani,3-May-11,9980.5,9967.8,0,9967.8,0,0
1602,FERIZAJ,Supply,1,82,Furnizimi me material per riparimin e stadiumit te futbollit ''Ismet Shabani'' ne Ferizaj.,2013,BARDHI NTP,Ferizaj,30-Jul-13,10000,9987,Not Provided,9987,0,0
1603,PRISHTINè,Services,"1, 2",231,Sanimi I rrjedhjeve te ujit neper shkolla dhe I.P,2010,RAKETA,Prishtine,6-Dec-10,6800,6791,Not Provided,6791,0,0
1604,PRISHTINè,Jobs,2,219,Riparimi i kulmit te demtuar nga era ne sh.fillore Rilindja,2012,DEKOR,Podujeve,26-Nov-12,9000,8988,Not Provided,8988,0,0
1605,PRISHTINè,Supply,2,157,Furnizimi me pajisje informative per kabinete te shkollave,2013,COMTRADE COMPUTER,Prishtine,18-Oct-13,100000,99866,0,99866,0,0
1606,PRISHTINè,Jobs,2,109,"Rikonstuimi dhe gelqerosja e shkolave I. Qemaili, S. frasheri dhe N. Frasheri",2013,GLOBAL ING,Podujeve,27-Jun-13,3700,3695,0,3695,0,0
1607,KACANIK,Jobs,2,68,Nertimi I varrezave te Deshmoreve,2013,AR DRITI NTSH,Ferizaj,1-Nov-13,9568.89,9555.85,Not Provided,9555.85,0,0
1608,VITI,Jobs,Unknown,28,Ndertimi i gropes septike te kanalizimit ne fshatin Radivojce,2012,ENGEENERING,Viti,1-Jun-12,18000,17975.1,0,17975.1,0,0
1609,HANI I ELEZIT,Supply,2,18,Furnizim me gypa dhe montimi I tyre te Lagja e komunes,2011,3D PROJEKT,Prishtine,19-Oct-11,10000,9986,0,9986,0,0
1610,FERIZAJ,Jobs,1,201,Eliminimi i kabllos se vjeter dhe vendosja e kabllos se re sipas zgjidhes teknike te ofruar nga KEK-u te stadiumi i ri i qytetit(projekt me BE)-Faza e II-te.,2013,ELEKTRO HETA NTSH,Ferizaj,13-Dec-13,10000,9986,Not Provided,9986,0,0
1611,PRISHTINè,Jobs,"1, 2",162,Asfaltimi i rruges Dheu i Kuq-Gllogovice dhe Dabishevc-Hajkobille,2010,KAG ASPHALT,Prizren,20-Dec-10,1000000,998542.5,Not Provided,998542.5,0,0
1612,PRISHTINè,Jobs,"1, 3",9,"Ndertimi I aneksit te shkolles ""Naim Frasheri""",2010,IZOLIMI,Podujeve,24-Mar-10,500000,499261.94,Not Provided,499261.94,0,0
1613,GJILAN,Jobs,2,65,Sanimi i rrugeve ne qytet,2012,BASS COM NTP,Gjilan,13-Jun-12,9950,9935,Not Provided,9935,0,0
1614,VITI,Jobs,Unknown,72,"Asfalltimi i rrugeve ne hyrje te sh.f ""Bafti Haxhiu""-Viti, dhe sh.f ""Ndre Mjeda"" ne Kabash",2014,PAPENBURG & ADRIANI,Ferizaj,5-Nov-14,9950,9934.15,0,9934.15,0,0
1615,VITI,Supply,Unknown,20,Furnizim me material per repartin e stomatologjise te QKMF-se Viti,2012,BENI & O NTP,Viti,25-May-12,5000,4992,0,4992,0,0
1616,FERIZAJ,Jobs,2,134,Renovimi i shkolles se vjeter ne Fshatin Pleshine,2012,BETONI NNP,Ferizaj,5-Sep-12,4203,4196,0,4196,0,0
1617,VITI,Supply,Unknown,2,"FURNIZIM ME MATERIAL HIXHENIK PèR NEVOJAT Tè ADMINISTRATèS KOMUNALE ,DREJTORISè Sè ARSIMIT DHE DREJTORISè Sè SHENDETèSIS",2011,ERMALI COM,Ferizaj,6-May-11,9998.05,9980,0,9980,0,0
1618,PRISHTINè,Jobs,"1, 2",190,"Ndertimi I objkekteve per invalid te luftes, veteran dhe familje te deshmoreve",2010,STANDARD,Prishtine,23-Nov-10,850000,848443.08,Not Provided,848443.08,0,0
1619,HANI I ELEZIT,Services,"1, 2",52,Rregullimi I parkut te Varrezat e Deshmoreve ne Pustenik,2013,KRAS SHPK,Hani I Elezit,3-Dec-13,10000,9981.27,0,9981.27,0,0
1620,VITI,Jobs,Unknown,45,Vazhdimi i kanalizimit te ujerave te zeza ne fshatin Sllatine e Poshtme,2013,VIZIONI BD,Viti,3-Sep-13,9980,9960.7,0,9960.7,0,0
1621,GJAKOVè,Supply,2,85,"""Furnizim me perde trake """,2012,GENCI ROL,Prishtine,29-Nov-12,4170,4161.92,Not Provided,4161.92,0,0
1622,VITI,Supply,Unknown,8,Furnizim me kompjutera,2011,CIPA PROTECH,Viti,6-May-11,10000,9980,0,9980,0,0
1623,GJAKOVè,Supply,2,51,"""Furnizim me kapak te pusetave""",2012,VICTORY COM,Bec,23-Jul-12,2000,1996,Not Provided,1996,0,0
1624,HANI I ELEZIT,Supply,"1, 3",33,Furnizim me inventar per sallen e Kuvendit Komunal,2013,GRANITI SHPK,Suhareke,28-Oct-13,10000,9980,0,9980,0,0
1625,HANI I ELEZIT,Services,3,39,Fasadimi I jashtem I shf. Ilaz ThaÌ_i - Hani I Elezit,2013,SUVATIMI NTN,Hani I Elezit,21-Nov-13,10000,9980,0,9980,0,0
1626,FERIZAJ,Supply,1,21,Furnizimi me lodra femijesh per ‚erdhen e femijeve ÒArdhmeria joneÓ.,2014,ABETARE NTP,Ferizaj,10-Apr-14,1200,1197.6,Not Provided,1197.6,0,0
1627,HANI I ELEZIT,Jobs,"1, 2, 3",16,Asfaltimi I rruges se fshatit Dimce,2011,ESKAVATORI SHPK,Ferizaj,10-Oct-11,196000,195604.4,0,195604.4,0,0
1628,KACANIK,Jobs,1,78,Ndertimi I kanalit te hapur ne rrugen e Lagjes Bunjak Koraq dhe mezin,2013,ELAN INZHINJERING NNT,Kacanik,1-Nov-13,3750,3742.42,Not Provided,3742.42,0,0
1629,FERIZAJ,Jobs,1,43,Renovimi I shtepise se kultures ne Mirosale,2013,‚AMERIA,Ferizaj,20-May-13,2200,2195.27,Not Provided,2195.27,0,0
1630,FERIZAJ,Supply,2,5,Furnizimi me material per riparime ne stadiumin e qytetit ne Ferizaj,2013,BARDHI NTP,Ferizaj,15-Feb-13,10000,9978,0,9978,0,0
1631,GJILAN,Services,2,29,Ofrimi i sherbimeve per bizneset e komunes,2012,FADIL SINANAJ,Gjilan,22-Jun-12,9000,8980,Not Provided,8980,0,0
1632,GJAKOVè,Supply,2,75,"""Furnizim me inventar",2013,IMI,Gjakove,13-Dec-13,3590,3582,Not Provided,3582,0,0
1633,HANI I ELEZIT,Supply,"1, 2, 3",17,Furnizim me material per ndertimin e shtepise se Deshmorit Imri Curri,2011,KRAS NTP,Hani I Elezit,19-Jul-11,10000,9977.25,0,9977.25,0,0
1634,FERIZAJ,Jobs,2,62,"Furnizim me mjete sportive per kabinetin e Edukates fizike ne Gjimnazin ,,Kuvendi i Arberit,, ne Ferizaj",2013,STAR GRAF NPSH,Ferizaj,27-Jun-13,6000,5986,Not Provided,5986,0,0
1635,FERIZAJ,Supply,2,13,Blerja e librave per biblioteken e qytetit Sadik Tafarshiku,2013,LIBRI NTP,Ferizaj,1-Mar-13,10000,9976.5,0,9976.5,0,0
1636,PRISHTINè,Services,Unknown,115,Pergaditja dhe realizimi I skenarit per Organizimi e Muajit Te Rinise,2014,LIGHT DESIGN STUDIO,Podujeve,22-Sep-14,8500,8480,Not Provided,8480,0,0
1637,PRISHTINè,Supply,"1, 2",184,Furnizimi me inventar per sallen dhe zyret tjera te Kuvendit Komunal,2010,LESNA,Prishtine,22-Oct-10,50000,49880.7,Not Provided,49880.7,0,0
1638,VITI,Supply,Unknown,49,Mirmbajtja e Aparateve te Rentgenit,2011,BIO LAB NTP,Gjilan,29-Aug-11,5000,4988,0,4988,0,0
1639,FERIZAJ,Jobs,1,86,Furnizimi me gypa per rregullimin e sistemit te ujitjes dhe renovimi i zhveshtores ne fushen e futbollit ne fshatin Tern.,2013,ZOGU NT,Ferizaj,30-Jul-13,10000,9975,Not Provided,9975,0,0
1640,FERIZAJ,Jobs,3,133,Rregullimi i oborrit te shkolles bujqesore ''Zenel Hajdini'' ne Ferizaj,2013,IDEALI NSHP,Ferizaj,24-Oct-13,10000,9975,Not Provided,9975,0,0
1641,HANI I ELEZIT,Supply,2,55,"Furnizim me gjenerator per shkollen ""Ilaz ThaÌ_i""-Hani I Elezit",2013,ELECTRA NTSH,Hani I Elezit,10-Dec-13,10000,9975,0,9975,0,0
1642,HANI I ELEZIT,Supply,2,29,Furnizim me kompjuter per nevoja te administrates komunale,2014,ELEKTRA NTSH,Hani I Elezit,9-Sep-14,10000,9975,0,9975,0,0
1643,GJILAN,Supply,2,73,Furnizim me dru per nrohje,2012,PYLLA,Gjilan,14-Sep-12,305000,304200,Not Provided,304200,0,0
1644,FERIZAJ,Services,Unknown,75,Vaksoonimi I deleve dhe dhive kunder smundjeve infektive Enterotoksemia,2014,AV ANIMALS,Ferizaj,29-Jul-14,7500,7480,Not Provided,7480,0,0
1645,KACANIK,Supply,2,57,"Furnizim me inventar per DKA, Shkollat fillore te mesme tee ulta dhe te mesme te larta",2013,METALI NTP ,Viti,3-Sep-13,6300,6283,Not Provided,6283,0,0
1646,FERIZAJ,Jobs,1,27,"Hortikultura _ gjelbrimi i hapesirave te reja ne qytet, parku rr. ,,Brahim Ademi,, ne Ferizaj",2011,IDEALI NSHP,Ferizaj,20-May-11,7585.7,7565,0,7565,0,0
1647,FERIZAJ,Jobs,1,190,Rregullimi i rrethojes ne sh.f. ÒDeshmoret e LiriseÓ ne fshatin Manastirc.,2013,DIONISI NNP,Ferizaj,11-Dec-13,10000,9972.5,Not Provided,9972.5,0,0
1648,VITI,Jobs,Unknown,61,Renovimi i shkolles se vjeter ne fshatin Stubell e Eperme,2014,ECO GJEO ING,Viti,25-Sep-14,5000,4985.83,0,4985.83,0,0
1649,VITI,Jobs,Unknown,44,"Rregullimi i rrethojes dhe fushes se futbollit ne sh.k filloreÓHasan Alia""- Remnik",2012,KAPITAL NSH,Prishtine,17-Aug-12,17000,15505.2,1446,16951.2,0,0
1650,FERIZAJ,Services,2,148,",,Lyerja e shkolles fillore ,,Halit Ibishi,, ne Fshatin Cernille,,",2011,G-ZEKA NN,Ferizaj,17-Oct-11,10000,9970,0,9970,0,0
1651,HANI I ELEZIT,Supply,2,30,Furnizimi dhe vendosja e kamerave neper disa pika ne qender te Hanit te Elezit,2014,ELEKTRA NTSH,Hani I Elezit,10-Sep-14,10000,9970,0,9970,0,0
1652,FERIZAJ,Jobs,"1, 2",84,"Asfaltimi i rruges ,,Bekim Osmani,, ne Ferizaj LOT-II-",2011,BAGERI NPSH,Ferizaj,14-Jul-11,10000,9969.3,0,9969.3,0,0
1653,GJILAN,Supply,2,7,Furnizim me material higjenik-sanitar familjet skamnore,2012,BALLKANIA,Gjilan,29-May-12,3250,3240,Not Provided,3240,0,0
1654,PRISHTINè,Jobs,Unknown,75,Ndertimi dhe modernizimi I semaforeve ne Prishtine per vitin 2014,2014,EKO INVEST & LA SEMAFORI,Prishtine,3-Oct-14,150000,149531,Not Provided,149531,0,0
1655,FERIZAJ,Jobs,1,127,Riparimi i kanalizimit atmosferik te QMF-II- ne Ferizaj.,2013,ESKAVATORI COMPANY,Ferizaj,17-Oct-13,5800,5781.84,Not Provided,5781.84,0,0
1656,GJILAN,Jobs,2,14,Punimi i pjeses se mbetur te rrethojes metalike fsh.Doberqan,2012,METALIKU NTP,Gjilan,8-May-12,5800,5781.1,Not Provided,5781.1,0,0
1657,VITI,Services,Unknown,2,Sherbimet e internetit per shkollat e komunes se Vitise,2014,COMNET SHPK,Ferizaj,1-Mar-14,2520,2511.6,0,2511.6,0,0
1658,VITI,Services,Unknown,61,"Pastrimi i rrugeve ,trotuareve dhe mirembajtja e varrezave te deshmorve,lumit dhe parkut ne Viti",2011,KRM HIGJIENA,Gjilan,21-Oct-11,32943.7,32833.7,0,32833.7,0,0
1659,GJILAN,Services,2,3,Transporti I punetoreve dhe nxenesve LOT I,2012,MERKATORI SHA,Gjilan,26-Mar-12,125000,124580,Not Provided,124580,0,0
1660,FERIZAJ,Jobs,2,74,Rregullimi i shtratit te lumit prej rruges Greme-Bazhdarhane deri te lagjia e Spahiajve ne Greme.,2013,LEONARDI TRANS NTSH,Ferizaj,23-Jul-13,10000,9966,Not Provided,9966,0,0
1661,HANI I ELEZIT,Supply,"1, 3",30,Furnizim me inventare dhe pajisje tjera per QSHQ-Hani I Elezit,2013,MOBEST NNP,Kacanik,30-Sep-13,10000,9965.7,0,9965.7,0,0
1662,PRISHTINè,Supply,2,223,Furnizimi me pjese per ngrohje,2012,TERMOKOM,Podujeve,18-Dec-12,9000,8969,Not Provided,8969,0,0
1663,KACANIK,Supply,3,91,Furnizim me banka dhe karrige per shkollen e Mesme Profesionale,2013,EURO METAL NTP,Gjilan,12-Dec-13,9996,9960,Not Provided,9960,0,0
1664,PRISHTINè,Jobs,"1, 2",108,Gjelberimi dhe mirembajtja e oborreve te shkollave dhe oborreve I.P.,2010,HORTIKULTURA,Prishtine,23-Jul-10,60000,59780.28,Not Provided,59780.28,0,0
1665,HANI I ELEZIT,Supply,2,10,"Furnizim me material per zyre, veshje sportive per klubin e mundjes Sharri dhe materiale tjera per nevoja tjera te komunes",2011,ATLLAS NTP,Hani I Elezit,22-Jun-11,2970,2958.15,0,2958.15,0,0
1666,PRISHTINè,Supply,2,120,Furnizimi me makina mjelese,2011,AGRO INTERNACIONAL,Fushe Kosove,5-Aug-11,40000,39840,Not Provided,39840,0,0
1667,FERIZAJ,Supply,1,3,Furnizimi me tavolina pikniku ne zonen rekreative ne Jezerc,2013,BEGISHOLLI NTP,Ferizaj,29-Jan-13,5000,4980,0,4980,0,0
1668,FERIZAJ,Supply,Unknown,66,"Renovimi i nje pjese te kulmit,murevete te jashtme dhe te mbrendshme te Komunes-Ferizaj.",2014,DONELI NN,Ferizaj,15-Jul-14,3500,3486,Not Provided,3486,0,0
1669,VITI,Supply,Unknown,8,Furnizimi me kompjutera dhe pajisje kompjuterike,2013,PC COMP,Prishtine,18-Mar-13,9990,9950,0,9950,0,0
1670,FERIZAJ,Services,Unknown,93,"Furnizimi ,montimi I ashensorit",2014,HEES,Ferizaj,8-Sep-14,9999,9957.92,Not Provided,9957.92,0,0
1671,VITI,Jobs,Unknown,38,Ndertimi i kanalizimit ne fshatin Kabash (faza e dyte),2012,HAJRUSHI,Viti,16-Jul-12,129143.29,128600.62,0,128600.62,0,0
